id,latitude,longitude,australian_states_id,locality_types_id,film_weekly_cinema_types_id,street,suburb,postcode,cinema_name,exhibitor_name,capacity,shortname,description,description,helper column
1,-43.431721,146.974298,8,3,3,,Southport,7109,Cruickshank & Douglas,Cruickshank & Douglas,NULL,TAS,Touring Circuit,Rural,0
2,-43.431282,146.974205,8,3,3,,Southport,7109,Frank Ward,"Auvergne Ave., New Town, Hobart",NULL,TAS,Touring Circuit,Rural,1
3,-43.315922,147.242881,8,3,1,,"Aloonah, South Bruny Island",7150,Aloonah,T. V. Murphy,150,TAS,Indoor Cinema,Rural,0
4,-43.3158772,147.2428501,8,3,1,,"Alonnah, South Bruny Island",7150,Pictures,T. V. Murphy,NULL,TAS,Indoor Cinema,Rural,1
5,-43.313472,147.015336,8,3,1,,Dover,7117,Hall,Ryan Brothers,320,TAS,Indoor Cinema,Rural,0
6,-43.252567,147.239771,8,3,3,,Gordon,7150,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,1
7,-43.232291,147.25341,8,3,3,,Middleton,7163,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,0
8,-43.16642,146.921402,8,3,1,,Geeveston,7116,Empire,"Cowling, Cruickshank & Douglas",450,TAS,Indoor Cinema,Rural,1
9,-43.163019,147.082972,8,3,1,,Port Cygnet,7112,Cygnet,W. Armstrong,350,TAS,Indoor Cinema,Rural,0
10,-43.162263,147.07761,8,3,1,,Cygnet,7112,Town Hall,W. H. Armstrong,375,TAS,Indoor Cinema,Rural,1
11,-43.161852,147.077106,8,3,3,,Cygnet,7112,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,0
12,-43.159888,147.239491,8,3,1,,Woodbridge,7162,Raycophone,R. Perry,300,TAS,Indoor Cinema,Rural,1
13,-43.159833,147.239025,8,3,3,,Woodbridge,7162,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,0
14,-43.138974,147.850694,8,3,3,,Port Arthur,7182,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,1
15,-43.125386,147.246222,8,3,3,,Kettering,7155,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,0
16,-43.097404,147.743811,8,3,3,,Nubeena,7184,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,1
