cinema_name,street,suburb,postcode,cinema_type,latitude,longitude,state
Cruickshank & Douglas,nan,Southport,7109,Touring Circuit,-43.431721,146.974298,TAS
Frank Ward,nan,Southport,7109,Touring Circuit,-43.431282,146.974205,TAS
Aloonah,nan,"Aloonah, South Bruny Island",7150,Indoor Cinema,-43.315922,147.242881,TAS
Pictures,nan,"Alonnah, South Bruny Island",7150,Indoor Cinema,-43.3158772,147.2428501,TAS
Hall,nan,Dover,7117,Indoor Cinema,-43.313472,147.01533600000002,TAS
R. Perry,nan,Gordon,7150,Touring Circuit,-43.252567,147.239771,TAS
R. Perry,nan,Middleton,7163,Touring Circuit,-43.232291,147.25341,TAS
Empire,nan,Geeveston,7116,Indoor Cinema,-43.16642,146.921402,TAS
Cygnet,nan,Port Cygnet,7112,Indoor Cinema,-43.163019,147.08297199999998,TAS
Town Hall,nan,Cygnet,7112,Indoor Cinema,-43.162263,147.07761000000002,TAS
R. Perry,nan,Cygnet,7112,Touring Circuit,-43.161852,147.07710600000001,TAS
Raycophone,nan,Woodbridge,7162,Indoor Cinema,-43.159888,147.239491,TAS
R. Perry,nan,Woodbridge,7162,Touring Circuit,-43.159833,147.239025,TAS
R. Perry,nan,Port Arthur,7182,Touring Circuit,-43.138974,147.850694,TAS
R. Perry,nan,Kettering,7155,Touring Circuit,-43.125386,147.246222,TAS
R. Perry,nan,Nubeena,7184,Touring Circuit,-43.097404,147.74381100000002,TAS
Frank Ward,nan,Nubeena,7184,Touring Circuit,-43.096906,147.74373500000002,TAS
Cruickshank & Douglas,nan,Nubeena,7184,Touring Circuit,-43.095951,147.743534,TAS
Palais,nan,Franklin,7113,Indoor Cinema,-43.087202000000005,147.01276399999998,TAS
Huon,nan,Huonville,7109,Indoor Cinema,-43.030869,147.048349,TAS
R. Perry,nan,Margate,7054,Touring Circuit,-43.029531,147.26828799999998,TAS
"Cowling, Cruickshank & Douglas",nan,Glen Huon,7109,Touring Circuit,-43.027158,146.96198,TAS
Frank Ward,nan,Glen Huon,7109,Touring Circuit,-43.026711,146.960725,TAS
Cruickshank & Douglas,nan,Eaglehawk Neck,7179,Touring Circuit,-43.018435,147.92421000000002,TAS
Frank Ward,nan,Eaglehawk Neck,7179,Touring Circuit,-43.017895,147.924755,TAS
Hall,nan,Ranelagh,7109,Indoor Cinema,-43.007397,147.040852,TAS
Town Hall,nan,Kingston,7050,Indoor Cinema,-42.975675,147.309494,TAS
